,LR White Recidivism,LR White No Recidivism,LR Black Recidivism,LR Black No Recidivism,LDA White Recidivism,LDA White No Recidivism,LDA Black Recidivism,LDA Black No Recidivism,RF White Recidivism,RF White No Recidivism,RF Black Recidivism,RF Black No Recidivism,XG White Recidivism,XG White No Recidivism,XG Black Recidivism,XG Black No Recidivism
0,39,7,39,18,34,12,40,17,35,11,42,15,31,15,37,20
1,21,20,44,18,24,17,46,16,24,17,44,18,22,19,45,17
2,16,13,54,20,14,15,52,22,12,17,49,25,15,14,47,27
3,32,8,57,6,29,11,45,18,31,9,48,15,29,11,46,17
4,41,13,44,5,35,19,37,12,38,16,40,9,34,20,34,15
5,26,19,41,17,25,20,36,22,24,21,34,24,23,22,31,27
6,26,10,46,21,17,19,36,31,20,16,44,23,20,16,43,24
7,33,10,48,12,29,14,38,22,27,16,37,23,27,16,34,26
8,35,12,39,17,29,18,38,18,28,19,41,15,30,17,37,19
9,34,14,38,17,28,20,38,17,30,18,40,15,26,22,35,20
10,26,13,46,18,22,17,44,20,20,19,49,15,20,19,45,19
11,36,6,51,10,27,15,37,24,29,13,41,20,23,19,37,24
12,31,14,40,18,24,21,38,20,25,20,43,15,26,19,39,19
13,30,14,36,23,29,15,36,23,27,17,34,25,23,21,35,24
14,29,15,43,16,25,19,40,19,25,19,38,21,23,21,43,16
15,31,9,51,12,25,15,38,25,26,14,38,25,24,16,38,25
16,27,7,59,10,22,12,47,22,22,12,47,22,18,16,39,30
17,30,19,37,17,26,23,34,20,29,20,36,18,26,23,37,17
18,40,11,44,8,31,20,33,19,32,19,38,14,30,21,31,21
19,38,13,49,3,30,21,44,8,31,20,40,12,31,20,37,15
20,32,12,39,20,29,15,40,19,29,15,42,17,23,21,33,26
21,28,23,35,17,22,29,37,15,24,27,40,12,18,33,37,15
22,41,13,41,8,33,21,29,20,34,20,34,15,33,21,28,21
23,31,15,42,15,24,22,35,22,27,19,36,21,24,22,34,23
24,32,4,59,8,17,19,42,25,21,15,50,17,13,23,45,22
25,32,18,38,15,32,18,36,17,29,21,41,12,30,20,33,20
26,29,13,43,18,29,13,41,20,29,13,43,18,29,13,37,24
27,27,13,45,18,26,14,41,22,28,12,44,19,23,17,40,23
28,35,12,41,15,33,14,42,14,32,15,43,13,30,17,41,15
29,22,15,41,25,17,20,46,20,16,21,46,20,16,21,46,20
30,28,21,34,20,28,21,35,19,30,19,42,12,29,20,39,15
31,40,11,34,18,35,16,35,17,35,16,35,17,30,21,38,14
32,28,13,41,21,25,16,42,20,24,17,46,16,24,17,42,20
33,43,4,47,9,28,19,32,24,28,19,33,23,24,23,33,23
34,35,7,55,6,29,13,46,15,28,14,47,14,26,16,43,18
35,28,17,40,18,23,22,38,20,23,22,43,15,23,22,42,16
36,29,15,40,19,28,16,38,21,26,18,42,17,27,17,40,19
37,34,20,35,14,30,24,39,10,32,22,39,10,30,24,36,13
38,24,14,44,21,19,19,50,15,21,17,53,12,19,19,43,22
39,22,12,55,14,19,15,49,20,18,16,53,16,20,14,43,26
40,34,9,52,8,27,16,35,25,26,17,34,26,23,20,33,27
41,27,10,46,20,23,14,47,19,26,11,48,18,24,13,44,22
42,25,11,47,20,19,17,47,20,23,13,50,17,22,14,49,18
43,37,15,39,12,34,18,36,15,34,18,39,12,34,18,35,16
44,34,22,26,21,31,25,25,22,34,22,25,22,33,23,22,25
45,21,13,50,19,20,14,42,27,22,12,46,23,20,14,41,28
46,37,9,49,8,31,15,37,20,36,10,38,19,29,17,33,24
47,32,19,32,20,31,20,38,14,30,21,34,18,33,18,32,20
48,30,5,57,11,27,8,50,18,27,8,54,14,27,8,49,19
49,24,12,48,19,26,10,45,22,23,13,45,22,24,12,44,23
50,26,17,40,20,25,18,41,19,25,18,37,23,22,21,38,22
51,32,9,51,11,28,13,50,12,28,13,52,10,25,16,46,16
52,39,12,41,11,32,19,33,19,38,13,32,20,30,21,33,19
53,41,5,50,7,26,20,38,19,28,18,40,17,23,23,37,20
54,36,12,35,20,30,18,38,17,30,18,37,18,30,18,39,16
55,25,21,40,17,29,17,38,19,27,19,42,15,27,19,39,18
56,28,15,46,14,25,18,47,13,26,17,50,10,21,22,43,17
57,31,17,34,21,32,16,34,21,29,19,36,19,32,16,33,22
58,28,13,41,21,27,14,41,21,28,13,45,17,24,17,38,24
59,35,13,39,16,28,20,35,20,29,19,39,16,25,23,33,22
60,35,21,37,10,32,24,34,13,31,25,39,8,30,26,35,12
61,26,10,47,20,23,13,42,25,27,9,43,24,22,14,42,25
62,25,18,44,16,23,20,43,17,25,18,43,17,21,22,40,20
63,24,20,40,19,20,24,37,22,24,20,42,17,21,23,36,23
64,23,16,38,26,23,16,42,22,24,15,45,19,20,19,37,27
65,27,12,46,18,23,16,41,23,23,16,43,21,21,18,41,23
66,38,9,30,26,33,14,29,27,32,15,35,21,30,17,29,27
67,26,12,44,21,29,9,39,26,24,14,43,22,29,9,40,25
68,39,11,48,5,26,24,39,14,28,22,37,16,28,22,36,17
69,28,12,40,23,26,14,40,23,26,14,40,23,22,18,41,22
70,36,19,30,18,28,27,32,16,32,23,34,14,30,25,29,19
71,40,5,45,13,28,17,39,19,34,11,42,16,30,15,40,18
72,38,4,55,6,25,17,40,21,26,16,42,19,26,16,38,23
73,26,15,43,19,29,12,44,18,27,14,47,15,24,17,46,16
74,21,17,36,29,19,19,43,22,24,14,37,28,23,15,40,25
75,29,15,38,21,31,13,37,22,34,10,42,17,31,13,39,20
76,25,12,46,20,20,17,43,23,21,16,46,20,20,17,46,20
77,26,16,36,25,28,14,41,20,30,12,35,26,25,17,40,21
78,26,17,46,14,24,19,42,18,24,19,44,16,23,20,39,21
79,27,16,39,21,23,20,31,29,24,19,39,21,24,19,31,29
80,40,10,46,7,24,26,33,20,28,22,38,15,20,30,34,19
81,25,8,51,19,22,11,51,19,22,11,44,26,23,10,45,25
82,32,9,55,7,19,22,43,19,19,22,48,14,20,21,43,19
