,Recidivism_Within_3years
0,0
1,1
2,1
3,0
4,1
5,0
6,1
7,0
8,1
9,1
10,1
11,1
12,0
13,1
14,0
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,0
23,0
24,1
25,1
26,0
27,1
28,0
29,1
30,1
31,0
32,1
33,1
34,1
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,1
43,1
44,1
45,1
46,0
47,0
48,1
49,0
50,0
51,1
52,1
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,0
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,1
75,1
76,0
77,1
78,0
79,0
80,1
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,1
89,0
90,0
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,0
99,0
100,0
101,1
102,1
103,0
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,0
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,0
136,1
137,1
138,1
139,0
140,0
141,0
142,1
143,0
144,1
145,0
146,1
147,1
148,0
149,1
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,1
158,1
159,1
160,1
161,0
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,0
175,0
176,1
177,1
178,0
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,1
192,1
193,0
194,1
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,1
219,1
220,1
221,0
222,0
223,1
224,1
225,1
226,0
227,1
228,0
229,1
230,1
231,0
232,0
233,1
234,1
235,0
236,1
237,0
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,0
255,0
256,1
257,0
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,1
277,1
278,1
279,0
280,0
281,1
282,1
283,1
284,1
285,1
286,0
287,1
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,1
308,1
309,1
310,0
311,0
312,0
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,1
326,0
327,1
328,1
329,1
330,1
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,1
346,0
347,1
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,0
356,1
357,1
358,0
359,0
360,0
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,0
369,1
370,1
371,1
372,0
373,0
374,0
375,1
376,1
377,1
378,0
379,1
380,1
381,1
382,0
383,1
384,1
385,1
386,0
387,0
388,1
389,1
390,0
391,0
392,1
393,1
394,1
395,1
396,1
397,0
398,1
399,0
400,1
401,0
402,1
403,1
404,1
405,1
406,0
407,1
408,0
409,1
410,1
411,1
412,0
413,1
414,1
415,0
416,1
417,1
418,0
419,1
420,0
421,0
422,1
423,0
424,1
425,0
426,0
427,1
428,1
429,0
430,0
431,1
432,0
433,1
434,0
435,1
436,1
437,0
438,0
439,1
440,1
441,1
442,0
443,1
444,1
445,0
446,1
447,0
448,1
449,1
450,1
451,0
452,1
453,1
454,0
455,1
456,1
457,1
458,1
459,1
460,0
461,1
462,0
463,0
464,1
465,1
466,1
467,0
468,0
469,0
470,1
471,1
472,1
473,0
474,1
475,1
476,1
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,1
485,1
486,1
487,0
488,1
489,1
490,1
491,0
492,0
493,1
494,1
495,1
496,1
497,0
498,1
499,1
500,0
501,1
502,0
503,0
504,1
505,0
506,1
507,1
508,1
509,1
510,0
511,0
512,1
513,0
514,1
515,1
516,0
517,0
518,1
519,1
520,0
521,1
522,1
523,0
524,1
525,0
526,0
527,1
528,1
529,1
530,0
531,1
532,1
533,0
534,1
535,0
536,0
537,1
538,0
539,0
540,1
541,1
542,0
543,1
544,1
545,0
546,0
547,1
548,0
549,1
550,0
551,1
552,1
553,1
554,0
555,1
556,1
557,1
558,0
559,0
560,0
561,0
562,0
563,1
564,1
565,1
566,1
567,1
568,0
569,0
570,0
571,0
572,0
573,0
574,1
575,1
576,1
577,0
578,0
579,1
580,1
581,1
582,0
583,0
584,1
585,0
586,0
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,0
598,1
599,1
600,1
601,0
602,1
603,1
604,1
605,1
606,1
607,0
608,1
609,1
610,0
611,1
612,0
613,1
614,1
615,1
616,0
617,1
618,0
619,1
620,1
621,0
622,0
623,0
624,0
625,1
626,1
627,1
628,1
629,0
630,1
631,1
632,0
633,1
634,1
635,0
636,0
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,0
646,0
647,1
648,0
649,0
650,1
651,1
652,0
653,1
654,1
655,1
656,0
657,1
658,1
659,0
660,0
661,0
662,0
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,0
676,0
677,0
678,0
679,0
680,0
681,1
682,1
683,1
684,0
685,1
686,1
687,0
688,1
689,0
690,1
691,0
692,0
693,1
694,1
695,1
696,1
697,0
698,1
699,1
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,1
708,1
709,1
710,1
711,1
712,1
713,0
714,1
715,0
716,0
717,1
718,1
719,1
720,0
721,0
722,1
723,1
724,1
725,0
726,1
727,0
728,1
729,1
730,1
731,0
732,0
733,1
734,1
735,0
736,1
737,1
738,1
739,1
740,0
741,1
742,1
743,0
744,1
745,1
746,0
747,0
748,0
749,0
750,0
751,0
752,1
753,0
754,0
755,0
756,0
757,1
758,1
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,1
767,0
768,0
769,1
770,1
771,1
772,1
773,0
774,1
775,1
776,0
777,0
778,0
779,1
780,0
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,1
789,1
790,0
791,0
792,1
793,1
794,1
795,0
796,1
797,1
798,0
799,1
800,1
801,1
802,1
803,0
804,0
805,0
806,1
807,0
808,0
809,1
810,0
811,0
812,1
813,1
814,1
815,1
816,1
817,0
818,1
819,1
820,1
821,1
822,0
823,1
824,1
825,0
826,1
827,1
828,1
829,0
830,1
831,0
832,1
833,0
834,1
835,0
836,0
837,1
838,1
839,1
840,0
841,0
842,1
843,0
844,1
845,0
846,1
847,1
848,1
849,0
850,0
851,1
852,0
853,1
854,1
855,1
856,0
857,0
858,1
859,0
860,1
861,1
862,0
863,1
864,0
865,0
866,1
867,0
868,1
869,0
870,1
871,1
872,1
873,1
874,0
875,0
876,0
877,0
878,1
879,1
880,0
881,1
882,1
883,0
884,0
885,1
886,1
887,0
888,1
889,0
890,0
891,0
892,1
893,0
894,0
895,1
896,1
897,0
898,1
899,1
900,0
901,0
902,0
903,1
904,0
905,1
906,0
907,1
908,1
909,1
910,0
911,0
912,1
913,1
914,0
915,0
916,1
917,0
918,0
919,1
920,1
921,1
922,0
923,0
924,0
925,1
926,0
927,1
928,0
929,1
930,1
931,1
932,0
933,1
934,0
935,0
936,0
937,1
938,1
939,1
940,0
941,0
942,0
943,1
944,1
945,0
946,0
947,1
948,1
949,0
950,0
951,0
952,0
953,1
954,1
955,1
956,1
957,1
958,1
959,0
960,1
961,0
962,1
963,1
964,0
965,0
966,1
967,1
968,0
969,1
970,1
971,1
972,1
973,1
974,1
975,0
976,1
977,1
978,1
979,0
980,1
981,1
982,0
983,0
984,1
985,1
986,0
987,1
988,0
989,0
990,1
991,1
992,1
993,1
994,1
995,0
996,0
997,0
998,0
999,1
1000,1
1001,0
1002,0
1003,0
1004,1
1005,0
1006,0
1007,1
1008,0
1009,0
1010,1
1011,1
1012,1
1013,0
1014,0
1015,0
1016,1
1017,0
1018,0
1019,1
1020,0
1021,0
1022,0
1023,1
1024,1
1025,1
1026,0
1027,0
1028,0
1029,1
1030,1
1031,0
1032,1
1033,1
1034,0
1035,1
1036,0
1037,1
1038,1
1039,1
1040,1
1041,0
1042,1
1043,1
1044,0
1045,1
1046,0
1047,0
1048,0
1049,1
1050,1
1051,0
1052,0
1053,0
1054,1
1055,1
1056,1
1057,0
1058,1
